label,ble_id,C0,C1,C2,C3
8-302,15070,-5.2981439602508615,3.8272206769277606,1.4052673547759855,0.7170865112775585
8-302,15070,-5.286070200251725,3.8266102789972156,1.4023353484966272,0.7144626085566327
8-302,15070,-5.282608551429976,3.8272184260731756,1.4044907904471395,0.7167148539726526
8-302,15070,-5.195566742689347,3.749926880310076,1.3642999411064587,0.7034261623854964
8-302,15070,-5.173450236907388,3.7062126824079105,1.3465787292732407,0.7005732009146385
8-302,15070,-5.160410819276586,3.70850346466594,1.3546978971088375,0.7090570102490873
8-302,15070,-4.64277709737874,4.20424286746936,0.167907108331814,-0.33530816895553006
8-302,15070,-4.6032718267337245,4.1261590491582645,0.13625286436891781,-0.3404042278066527
8-302,15070,-4.586133316197658,4.092284066884477,0.12252035261006512,-0.34261504314562796
8-302,15070,-4.471900910502603,3.911221940891885,0.04784605453467817,-0.35513121724859165
8-302,15070,-4.429683336970282,3.909087600013931,0.03759388862241209,-0.3643060564097369
8-302,15070,-4.904535009025103,3.471420146328637,1.110998309236547,0.5760360738224518
8-302,15070,-4.843638400345654,3.3861698046065265,1.0879417996697236,0.5836520721928461
8-302,15070,-4.833471769510358,3.3856558230114873,1.0854729229112712,0.5814426320256331
8-302,15070,-4.827408708350608,3.3867209896720976,1.0892481690570204,0.58538742897277
8-302,15070,-4.79002312671989,3.3128268252772037,1.0592923605709244,0.5805648035088024
8-302,15070,-4.73630833032183,3.2962098466936403,1.056798185050194,0.585538839224755
8-302,15070,-4.69952944611599,3.302671210060807,1.0796990493470622,0.6094682086161497
8-302,15070,-4.675479956017447,3.255136387879653,1.0604290022284606,0.6063658980919934
8-302,15070,-4.628340294592444,3.191703822578475,1.0253906094819665,0.5924535488619477
8-302,15070,-4.618315271967203,3.1718889464251676,1.01735789620772,0.5911603516645124
8-302,15070,-4.615644273602478,3.171753912113202,1.0167092677789547,0.5905798829557346
8-302,15070,-4.540757759844619,3.0998409770385833,0.978770829059837,0.577429647040219
8-302,15070,-4.500366599573408,3.020006160860971,0.9464067515508353,0.5722193111420849
8-302,15070,-4.514482051066111,3.0207197780258372,0.9498345646277507,0.5752869198722109
8-302,15070,-4.458269014430066,2.972283125477854,0.9361522969300865,0.579642852255262
8-302,15070,-4.460582014331786,2.972400060910848,0.9367139885850876,0.5801455197537101
8-302,15070,-4.469770300721435,2.970785850519014,0.9309927791391329,0.5741673639765715
8-302,15070,-4.485348146179298,2.9334527758656157,0.9237512481554963,0.5793320881097882
8-302,15070,-4.520092029961944,2.9352092787910955,0.9321884943345896,0.5868827244649365
8-302,15070,-4.514650347786863,2.9244535665702154,0.927828257527547,0.5861807641401356
8-302,15070,-4.574400731077772,2.869382057611449,1.0628942777867032,0.7045036131738786
8-302,15070,-4.565328363190675,2.81119235862633,1.043952453046938,0.7051795294923825
8-302,15070,-4.58204891255238,2.8442412231728587,1.0573500665817244,0.707336429120688
8-302,15070,-4.603981148289386,2.8403881387845984,1.0436936665797811,0.6930667039274855
8-302,15070,-4.65353786768949,2.7129708023721872,1.1554575385944779,0.8124683871797073
8-302,15070,-4.65371281633273,2.7133165956764587,1.1555977190550506,0.8124909550185627
8-302,15070,-4.649501241227963,2.713103676359819,1.1545749751331866,0.8115756839366818
8-302,15070,-4.654106344409495,2.6881143682421142,1.1425416799591062,0.807322149421564
8-302,15070,-4.644562075591484,2.6876318506224584,1.1402239383352628,0.8052479626791887
8-302,15070,-4.656937112988692,2.7120916291770585,1.1501396393651613,0.8068443045806956
8-302,15070,-4.662207559706856,2.7123580805368706,1.151419520932609,0.8079896925530651
8-302,15070,-4.705706494148418,2.706314236365788,1.1316766510064113,0.7871681084525192
8-302,15070,-4.700238079605043,2.7072749347167577,1.1350816324809985,0.7907260117010607
8-302,15070,-4.700418486514158,2.707631516511627,1.1352261864663393,0.7907492836394877
8-302,15070,-4.700166858574293,2.7076187952736888,1.1351650808372893,0.7906945991637223
8-302,15070,-4.704194418788806,2.682336928203083,1.1229151749476556,0.7863276291638969
8-302,15070,-4.711301039673787,2.6826962087156714,1.1246409552398988,0.7878720595549286
8-302,15070,-4.691192410409128,2.6429506626568737,1.1085285872922757,0.7852781080017571
8-302,15070,-4.755409431908363,2.70645081716684,1.1309329499206628,0.7847653842255519
8-302,15070,-4.7523036149063005,2.7062938002747665,1.13017872961537,0.7840904195349342
8-302,15070,-4.719453615373169,2.641364403432671,1.1038571304356928,0.7798528702624726
8-302,15070,-4.672320973115011,2.5053308859318824,1.0468612054819257,0.7682733967473724
8-302,15070,-4.668410443504473,2.5051331861944535,1.045911567806957,0.7674235497000493
8-302,15153,-5.678388531368786,1.273053231784811,-0.8784543480254219,2.0374462511260893
8-302,15153,-5.576703819879136,1.0720691502347752,-0.9599308855161535,2.0243292349520448
8-302,15153,-4.637448286275919,0.04212233791601908,0.5694805644085309,-0.5572971962248474
8-302,15153,-4.565764028368712,0.03849828685964988,0.5520726737158154,-0.5728758162557008
8-302,15153,-4.543550371035873,-0.02167479349404652,0.5036341109820989,-0.5570391593122841
8-302,15153,-4.555242741566033,-0.03245156935615131,0.5300647691289321,-0.533884921349474
8-302,15153,-4.605029296481429,0.06595363695875875,0.5699570601987795,-0.5274626083339952
8-302,15153,-4.642310806122522,0.0678384314497997,0.5790105464681313,-0.5193604881498536
8-302,15153,-4.577562686375683,-0.06013893298157332,0.5271300569754253,-0.5277127971795615
8-302,15153,-4.599315102984558,-0.08018798271432592,0.5763014962292196,-0.4846367905538006
8-302,15153,-4.54421189967786,-0.18910176675145576,0.5321491537157185,-0.4917449349191333
8-302,15153,-4.544538364568149,-0.18940266714974716,0.5328871291236931,-0.49109844105916145
8-302,15153,-4.609911501964279,-0.06018992921575766,0.5852684242261005,-0.48266550666803254
8-302,15153,-4.5698884068001595,-0.05315861854611475,0.6101893398788006,-0.4566253630081798
8-302,15153,-4.57729295924444,-0.0331009250948821,0.6263355274567063,-0.46190424865598567
8-302,15153,-4.517819066447947,-0.036107672047533006,0.6118928163915821,-0.47482927856745705
8-302,15153,-4.490267582081344,-0.03750055786288969,0.6052021810655287,-0.4808168429053472
8-302,15153,-4.484684090005052,-0.03235429240039658,0.5925806711712472,-0.49187375423606905
8-302,15153,-4.533713943052151,0.0645552610500965,0.6318666424980534,-0.48554905344272237
