label,id,timestamp,ble_id,place,proxi,detector,batt
8-303,395492874,1716275799,15158,8-303,0.501187,2,0
8-303,395492875,1716275800,15158,8-303,7.07946,1,0
8-303,395492876,1716275800,15158,8-302,8.91251,1,0
8-303,395492880,1716275803,15164,8-320,100.0,1,0
8-303,395492881,1716275803,15164,8-303,14.1254,0,0
8-303,395492882,1716275803,15164,8-303,3.98107,2,0
8-303,395492883,1716275803,15164,8-302,31.6228,0,0
8-303,395492884,1716275804,15164,8-303,1.99526,1,0
8-303,395492887,1716275805,15159,8-303,31.6228,0,0
8-303,395492888,1716275806,15159,8-302,50.1187,0,0
8-303,395492889,1716275806,15159,8-303,3.54813,2,0
8-303,395492977,1716275843,15164,8-303,11.2202,0,0
8-303,395492980,1716275844,15164,8-303,2.81838,1,0
8-303,395492982,1716275844,15164,8-303,11.2202,2,0
8-303,395492985,1716275845,15159,8-320,12.5893,1,0
8-303,395492986,1716275846,15155,8-303,2.81838,1,0
8-303,395492987,1716275846,15159,8-303,11.2202,1,0
8-303,395492988,1716275846,15155,8-302,31.6228,1,0
8-303,395492989,1716275846,15155,8-303,8.91251,2,0
8-303,395492991,1716275846,15159,8-303,3.54813,2,0
8-303,395492992,1716275846,15159,8-302,35.4813,1,0
8-303,395492993,1716275847,15159,8-302,100.0,0,0
8-303,395492994,1716275847,15155,8-303,50.1187,0,0
8-303,395492996,1716275848,15158,8-320,25.1189,1,0
8-303,395492998,1716275848,15158,8-303,6.30957,1,0
8-303,395493001,1716275849,15158,8-303,0.446684,2,0
8-303,395493005,1716275851,15164,8-302,31.6228,1,0
8-303,395493007,1716275851,15164,8-302,79.4328,0,0
8-303,395493008,1716275851,15164,8-303,3.98107,2,0
8-303,395493010,1716275852,15164,8-320,56.2341,1,0
8-303,395493012,1716275852,15164,8-303,2.81838,1,0
8-303,395493019,1716275855,15155,8-303,4.46684,1,0
8-303,395493020,1716275855,15159,8-303,10.0,1,0
8-303,395493021,1716275855,15159,8-302,79.4328,0,0
8-303,395493022,1716275855,15159,8-302,17.7828,1,0
8-303,395493024,1716275855,15159,8-303,4.46684,2,0
8-303,395493025,1716275855,15158,8-303,1.25892,2,0
8-303,395493027,1716275855,15158,8-303,19.9526,0,0
8-303,395493036,1716275859,15164,8-303,2.23872,1,0
8-303,395493038,1716275859,15164,8-303,4.46684,2,0
8-303,395493040,1716275860,15164,8-303,11.2202,0,0
8-303,395493044,1716275862,15159,8-303,3.54813,2,0
8-303,395493045,1716275862,15159,8-303,25.1189,0,0
8-303,395493046,1716275862,15159,8-320,31.6228,1,0
8-303,395493048,1716275863,15155,8-302,125.893,0,0
8-303,395493050,1716275863,15159,8-302,63.0957,0,0
8-303,395493051,1716275863,15158,8-302,39.8107,0,0
8-303,395493052,1716275863,15155,8-303,5.01187,1,0
8-303,395493053,1716275863,15155,8-302,39.8107,1,0
8-303,395493054,1716275863,15159,8-303,11.2202,1,0
8-303,395493055,1716275863,15158,8-302,7.07946,1,0
8-303,395493057,1716275864,15158,8-303,1.25892,2,0
8-303,395493063,1716275867,15164,8-302,44.6684,0,0
8-303,395493066,1716275868,15164,8-303,10.0,2,0
8-303,395493070,1716275870,15159,8-302,19.9526,1,0
8-303,395493072,1716275870,15159,8-303,44.6684,0,0
8-303,395493074,1716275870,15159,8-303,3.54813,2,0
8-303,395493076,1716275871,15158,8-320,56.2341,1,0
8-303,395493078,1716275872,15158,8-302,7.94328,1,0
8-303,395493080,1716275872,15158,8-303,10.0,1,0
