label,id,timestamp,ble_id,place,proxi,detector,batt
8-303,399275229,1717578452,15161,8-302,158.489,1,2888
8-303,399275230,1717578453,15161,8-303,112.202,0,2888
8-303,399275231,1717578453,15164,8-303,8.91251,0,0
8-303,399275234,1717578453,15161,8-322,5.01187,1,2888
8-303,399275235,1717578454,15161,8-322,89.1251,0,2888
8-303,399275236,1717578454,15164,8-322,11.2202,0,0
8-303,399275240,1717578454,15161,8-303,100.0,1,2888
8-303,399275241,1717578454,15164,8-303,7.07946,1,0
8-303,399275249,1717578458,15162,8-322,1.12202,1,0
8-303,399275250,1717578458,15155,8-322,5.01187,1,0
8-303,399275255,1717578458,15155,8-303,7.07946,1,0
8-303,399275256,1717578458,15070,8-303,112.202,1,2833
8-303,399275258,1717578459,15163,8-302,56.2341,1,0
8-303,399275259,1717578459,15070,8-303,100.0,0,2833
8-303,399275260,1717578459,15163,8-303,11.2202,0,0
8-303,399275262,1717578460,15070,8-322,7.94328,1,2833
8-303,399275264,1717578460,15163,8-322,1.77828,1,0
8-303,399275265,1717578460,15163,8-322,15.8489,0,0
8-303,399275266,1717578460,15153,8-302,28.1838,0,0
8-303,399275267,1717578461,15153,8-303,3.16228,1,0
8-303,399275268,1717578461,15158,8-303,50.1187,1,2910
8-303,399275270,1717578461,15153,8-302,7.94328,1,0
8-303,399275271,1717578461,15164,8-302,14.1254,1,0
8-303,399275272,1717578461,15158,8-302,251.189,1,2910
8-303,399275275,1717578462,15153,8-303,28.1838,0,0
8-303,399275276,1717578462,15164,8-303,10.0,0,0
8-303,399275277,1717578462,15158,8-303,125.893,0,2910
8-303,399275278,1717578462,15153,8-417,8.91251,0,0
8-303,399275279,1717578462,15164,8-322,0.794328,1,0
8-303,399275283,1717578462,15164,8-320,63.0957,1,0
8-303,399275284,1717578462,15164,8-322,44.6684,0,0
8-303,399275285,1717578462,15164,8-302,15.8489,0,0
8-303,399275288,1717578465,15162,8-302,31.6228,0,0
8-303,399275290,1717578465,15155,8-303,8.91251,1,0
8-303,399275291,1717578465,15162,8-303,7.94328,1,0
8-303,399275293,1717578465,15155,8-302,28.1838,1,0
8-303,399275294,1717578465,15162,8-302,5.01187,1,0
8-303,399275297,1717578466,15162,8-322,2.23872,1,0
8-303,399275300,1717578466,15155,8-322,11.2202,1,0
8-303,399275304,1717578468,15153,8-303,14.1254,0,0
8-303,399275306,1717578468,15153,8-417,10.0,0,0
8-303,399275309,1717578468,15153,8-322,0.891251,1,0
8-303,399275310,1717578468,15153,8-322,14.1254,0,0
8-303,399275312,1717578468,15153,8-320,56.2341,1,0
8-303,399275314,1717578469,15153,8-303,7.94328,1,0
8-303,399275315,1717578469,15153,8-302,7.07946,1,0
8-303,399275317,1717578470,15164,8-417,7.94328,0,0
8-303,399275319,1717578470,15164,8-322,11.2202,0,0
8-303,399275325,1717578473,15162,8-320,56.2341,1,0
8-303,399275327,1717578473,15155,8-303,6.30957,1,0
8-303,399275328,1717578474,15162,8-303,7.94328,1,0
8-303,399275333,1717578474,15155,8-303,17.7828,0,0
8-303,399275334,1717578474,15155,8-322,6.30957,1,0
8-303,399275335,1717578474,15162,8-303,7.94328,0,0
8-303,399275339,1717578476,15159,8-303,39.8107,1,2877
8-303,399275340,1717578476,15159,8-302,89.1251,1,2877
8-303,399275346,1717578477,15153,8-322,12.5893,0,0
8-303,399275347,1717578477,15164,8-302,11.2202,0,0
8-303,399275348,1717578477,15164,8-322,12.5893,0,0
8-303,399275350,1717578477,15153,8-303,15.8489,0,0
8-303,399275351,1717578477,15164,8-320,35.4813,1,0
8-303,399275353,1717578478,15153,8-302,3.98107,1,0
8-303,399275354,1717578478,15164,8-303,5.01187,1,0
8-303,399275355,1717578478,15164,8-302,14.1254,1,0
8-303,399275365,1717578481,15160,8-322,17.7828,1,2925
